Event Name, Time, Description, Event URL
Celebrity Saturdays At Hudson Terrace Rooftop| Ladies Free,2017-11-11T22:00:00,"
 
ROOFTOP SATURDAYS
THE WEEKLY SOCIALITE EVENT
 
 
This week we invite all Socialites to attend the #1 Rooftop Party in NYC on A Saturday. Party all night to the sounds of Hip-Hop, Top 40's R&B Classics and Reggae. 
 
Doors Open 11pm- 4am
Ladies Free B4 Midnight
Guys reduced entry

The Venue
Hudson Terrace, located in the heart of Hell’s Kitchen, is a full-service, bi-level NYC event venue with a one-of-a-kind view of the Intrepid on the Hudson River. Since its opening in 2008, this venue has become the location of choice for spectacular and unforgettable celebrations of all kinds, from corporate fêtes and press events to fundraisers, galas and weddings.  Located in a transformed turn-of-the-century stable, Hudson Terrace caters to all types of events for up to 775 guests, whether intimate private parties, large-scale, opulent affairs, corporate meetings / functions or post-convention company celebrations.
The venue’s setting is versatile, with a unique combination of upscale lounge and modern nightclub. Hudson Terrace imaginatively unites these elements with its intimate interiors, magnificent private event rooms and a climate-controlled retractable rooftop that can be easily transformed for any type of private event you can envision.  State-of-the-art lighting, audio and visual technology is also an integral part of this facility, allowing for a wide array of corporate and social events.

ID a must. Strictly 21+over
 

Hudson Terrace
621 West 46th St. Manhattan NYC
347.638.0168 For More Info
",https://www.eventbrite.com/e/celebrity-saturdays-at-hudson-terrace-rooftop-ladies-free-tickets-33636068386?aff=ebapi
Ancient Aliens,2017-11-11T22:00:00,"
Return to the source, in the past of the future, where the intergalactic sands of time blow through colors and cosmos to reveal… the truth. We are not alone.
Dance into the darkness with ancient aliens and beings of light from planets unknown. Relearn the secret language and speak to beings from beyond the stars. Release yourself into the infinite expanse of universal bliss and timelessness and feel the lightyears drift into eternity. The truth is out there.

Costumes are required for entry! See inspiration here: http://bit.ly/2pXKavp

::::: Featuring :::::
Psychonauts Performances
Absurd Alien Aerial Art Abductions 
Intergalactic Fortunes of the Future Past 
Light Shows and Star Showers
Galactic Blessings
Real Aliens
Space Treats 
Star Children 
Conspiracies 
Sightings & Discoveries 
Space Psychedelia 
& MORE!

::::: MUSIC :::::Special Guest (will be announced right before the party!)2MeloBen Finx II

21+ | No Re-Entry
*Free before 11 with RSVP only*


Behave with beauty, connect with intention. We are obsessed with CONSENT.Always ASK before touching anyone in our House. Anyone who cannot follow this simple rule will be escorted to the sidewalk.
::::::: Community and Accessibility :::::::
This is a space for everyone to feel welcome and loved. Racism, sexism, ableism, homophobia, transphobia, xenophobia will not be tolerated at our House. All entrances and spaces within the venue are single-level and handicap accessible. There are stairs leading to the upper portions of the stage, for those who wish to dance in the spotlight. Gender neutral bathrooms are easily located throughout the venue.",https://www.eventbrite.com/e/ancient-aliens-tickets-38586566459?aff=ebapi
Dope Comedy Show,2017-11-11T21:30:00,"Dope is the dopest weekly comedy show on the northern tip of Manhattan. It gives locals and uptown visitors a hearty dose of New York's best underground comedy. Kevin Berrey hosts several great up-and-coming comedians and a headliner with a 20-minute set rarely seen in club showcases. They're joined by the occasional musical act — in August it was Damiyr Shuford https://www.backstage.com/u/damiyrshuford/. Past headliners: Mark Normand (Comedy Central), Ophira Eisenberg (WNYC), Erik Bergstrom (Comedy Central Half Hour), Tim Dillon (Just for Laughs), and Pat Brown (Colbert). Seating is first come at 9:30pm. Drink specials at the bar.
The Park View, 219 Dyckman St (212-544-9024, theparkviewnewyork.com) Sat at 10pm; free

Social:
https://instagram.com/dope.shows
https://facebook.com/dopecomedyshow
http://twitter.com/dope_shows",https://www.eventbrite.com/e/dope-comedy-show-tickets-37594317616?aff=ebapi
"Twelve Angry Women - Saturday, November 11th @ 9PM - Cast A",2017-11-11T21:00:00,"The AlphaNYC Theater Company
Presents 
Twelve Angry Women
Adapted by Sherman L. SergelBased the Emmy Award-Winning Television Movie by Reginald Rose
 
The Roebuck Theater
Located at the Times Square Arts Center
300 West 43rd Street
Between 8th & 9th Avenues
4th Floor - Suite #402
New York, New York 10036
 
 
 
 
 
Everyone regardless of age must purchase a ticket.
There are no refunds.
There are no exchanges.",https://www.eventbrite.com/e/twelve-angry-women-saturday-november-11th-9pm-cast-a-tickets-39566780305?aff=ebapi
"Twelve Angry Women - Saturday, November 11th @ 9PM",2017-11-11T21:00:00,"The AlphaNYC Theater Company
Presents 
Twelve Angry Women
Adapted by Sherman L. SergelBased the Emmy Award-Winning Television Movie by Reginald Rose
 
The Roebuck Theater
Located at the Times Square Arts Center
300 West 43rd Street
Between 8th & 9th Avenues
4th Floor - Suite #402
New York, New York 10036
 
 
 
 
 
Everyone regardless of age must purchase a ticket.
There are no refunds.
There are no exchanges.",https://www.eventbrite.com/e/twelve-angry-women-saturday-november-11th-9pm-tickets-39141790148?aff=ebapi
The Human Citizen Comedy Show,2017-11-11T21:00:00,"HC comedy (for short) will make you question what a citizen is, what a human is, what a comedy show is!! With answers that are sure to pleasantly surprise even the most pinched of characters. Come make merry, drink sherry, and PLEASE, don't open carry. We've got:
Ryan Donahue (Jimmy Kimmel Live)Maria Wojociechowski (Seeso)Conrad Roth (bill bellamy's who's got jokes)Amy Buchwald (She Devil Comedy Festival)Sameer Naseem (Bollywood Hogan)Scott Sharp (Sharp Stories)
Tickets are just $5, but are FREE to all those who arrive an hour early (before 8:00 p.m.) Hosted by Koshin Egal and Ben Totushek. We're on facebook at www.facebook.com/hccomedy. Like and subsribe to find out about future lineups! See you on Saturday!",https://www.eventbrite.com/e/the-human-citizen-comedy-show-tickets-39668552709?aff=ebapi
"Savage Men Male Revue - New York, NY",2017-11-11T21:00:00,"If you are looking for hot men with the sexiest dance moves to show you a good time, then you've come to the right place! Our Savage Men Strippers will make sure your Girls Night Out is one to remember. After all, you deserve more than the average strip club. You deserve to party at an upscale environment with the best Magic Mike Style show in town!
 
Our chiseled male dancers are trained to entertain the toughest of female audiences with mind-blowing choreography and a first class erotic performance. Next time you are planning a girls night out, bachelorette or birthday party in New York City, New Jersey, Connecticut, Philadelphia or Atlantic City, you'll know exactly where to go. Please visit each venues local page to see what special offers are available for that location. No other Brand has male strip club locations in multiple casino venues than Savage Men. Currently at Caesars Casino in Atlantic City and Valley Forge Casino in Pennsylvania.
 
Get ready to blush, scream and have a great time with the sexy Savage Men strippers. Plus, our hilarious hosts encourage audience participation. Who knows? You might find yourself right in the middle of the stage action and have a photo moment that none of your friends will be able to top.",https://www.eventbrite.com/e/savage-men-male-revue-new-york-ny-tickets-33856316153?aff=ebapi
Hunk-O-Mania Male Revue - Bachelorette Party Haven NYC,2017-11-11T21:00:00,"Our male revue is the place to go for ladies seeking the perfect setting to celebrate their special events! Our ""Magic Mike"" Style ""audience participation"" male revue show features the very best male strippers and exotic dancers, in an intimate personal setting, designed to involve our audience directly and make for a memorable evening.
Our chiseled male dancers are trained to entertain the toughest of male audiences with mind-blowing choreography and a first class erotic performance. Next time you are planning a girls night out, bachelorette or birthday party in New York City you'll know exactly where to go. 
Get ready to blush, scream and have a great time with the sexy HunkOMania strippers. Plus, our hilarious hosts encourage audience participation. 
Guests must be at least 18 years old at this location.
A 2 drink minim is required per person ($22 for 2 drinks) - Cash Only",https://www.eventbrite.com/e/hunk-o-mania-male-revue-bachelorette-party-haven-nyc-tickets-33856925977?aff=ebapi
Galatea Stone Presents: The Best Revenge (A Fundraiser Against Domestic Violence and Sexual Assault),2017-11-11T21:00:00,"They say the best revenge is living well. If so, our vengeance is mighty.
Every performer in this show is an amazing human being. Every one of us has experienced some form of domestic abuse or sexual assault. Everyone of us has survived...and thrived.
As a testament to that survival, every act in this show is a celebration of self. This night isn't about the people who tried to break us, or the things they did to us. This night is about the fact that we could not be broken.After the show, we'll be having a full-on dance party with some of NYC's very best trance and house DJs! Stick around with us as we celebrate life and survival, and dance until the sun comes up!
*********************Burlesque By:Galatea StoneFlorence of AlabiaMiss Mary CynLydia VengeanceAphrodite RoseSarah ToninThe Incredible, Edible AkynosSatine S'allumerAttica WildeSarah ElizabethSarah Tops
and more TBA!!!
*********************Music By:AffectionMonikkr

*********************
Raffle Donors Include:Glorious PastiesVengeance DesignsKnot Very NiceGalatea Stone PresentsLiam Cotter PhotographyALTinnovative: Accessories & Designs
and more!
*********************Ticket Information:General Admission (show and party): $20VIP Table for 2 (includes swag & 2 complimentary cocktails): $100VIP Table for 4 (includes swag & 4 complimentary cocktails): $200Party ONLY (admission after show): $10
*********************
**All proceeds from this event will be donated to the New York State Coalition Against Sexual Assault, a non-government, non-profit coalition of community-based rape crisis programs.  More information about NYSCASA here: http://nyscasa.org/get-info/about-nyscasa/**",https://www.eventbrite.com/e/galatea-stone-presents-the-best-revenge-a-fundraiser-against-domestic-violence-and-sexual-assault-tickets-38307328250?aff=ebapi
"BROADWAY TRIVIA, presented by brooklyn theatre club!",2017-11-11T21:00:00,"BROOKLYN THEATRE CLUB announces BROADWAY TRIVIA: a fundraiser for our upcoming 2018 season! 
come test your skills and show off your knowledge of all things Great White Way!

questions will range everything musical theatre - from Tony Awards to Broadway history to celebrity stars and more! bring your team (2-6 players) and compete for a chance to be the ONE singular sensation (and take home a few awesome prizes). 

and it wouldn’t be a BTC event without an immersive twist! 
teams will each vote one player in to participate in some acting-related clues alongside the BTC company.
BROADWAY TRIVIA will include prizes, BTC merch, and an auction, with the chance to bid on exclusive items and experiences from our company and participating patrons. all admissions and proceeds go towards brooklyn theatre club's 2018 season of participatory theater!
$5 at the door with reservation / $8 withoutadmission includes a full multi-round game of trivia + an evening of theatrical entertainment from the BTC company",https://www.eventbrite.com/e/broadway-trivia-presented-by-brooklyn-theatre-club-tickets-39194167811?aff=ebapi
"BROADWAY COMEDY CLUB - ALL STAR COMEDY, Times Square NYC Discount tickets",2017-11-11T15:00:00,"
$25 at the doorJUST $5 discount tickets here via EventBrite
There is a two drink minimum per guest. Food menu also available
LIVE COMEDY SEVEN NIGHTS / WEEK at 9pm
Broadway Comedy Club presents a lineup full of our Top Headliners. These are the best comedians from New York City with special guests from all across the country. You've seen them on MTV, HBO, The Tonight Show, Comedy Central, The Daily Show, Last Comic Standing and more! 
PREFER IMPROV COMEDY? CLICK HERE
Double Check line-ups at https://www.broadwaycomedyclub.com/calendar
Friday 10/6  9pm Ryan Reiss Ardie Fuqua Teddy Smith Rich Aronovitch David Suarez


Friday 11pm Ian Lara , Jon Rineman Tonight Show, James Goff Today Show, Ronnie Wilkerson

Saturday 3pm EIGHT IS NEVER ENOUGH Improv Comedy

Saturday 9pm Carole Montgomery USO Tours, DC Benny MTV and Last Comic Standing, Harris Stanton Comedy Central

Saturday 11pm Vanessa Hollingshead Comedy Central, Jon Rineman Tonight Show , Ronnie Wilkerson James Goff Today Show

Sunday 3pm EIGHT IS NEVER ENOUGH Improv
Sunday 7pm EIGHT IS NEVER ENOUGH Improv with Special Guest Mitch Pileggi - SOLD OUT Fundrasier and New York Comic Con Off-Site Event
Sunday 9pm Performing on Sunday Night Live this week will be Barry Ribs, Will Wright, Harrison Greenbaum, Allegra Barnett, Eric Nieves, Janelle James, Kenny Williams, Gary Vider and hosted by Jamie Roberts

Sunday 11pm Ian Lara , Luke Ashdale, Amy Foster, Mike King, Brian Jian, Cory Jarvis, Eric Braunstein


MONDAYS 8pm ON THE SPOT

Al Martin’s name is synonymous with comedy in New York City, and is responsible for launching the careers of many top comedians working today. Martin’s first venture in the comedy club business was in 1988 when he established the New York Comedy Club out of a need to help and showcase talented comedians. An accomplished comedian himself, Al was a National Headliner with numerous television credits such as The Joan Rivers Show, Geraldo and Evening At The Improv. Al was always more than just a comedian; he was an activist for the comedy community serving as Vice President of the Professional Comedians Association, and was instrumental in the organization dedicated to bringing health insurance and improving working conditions for comics. Although performing was a love for Martin he found his niche as a comedy club owner. He soon found himself helping his fellow comedians that he had once worked beside. Sarah Silverman, Lisa Lampanelli, Brett Butler, Tracy Morgan and Wanda Sykes are just a few comedians who have graced his stages over the years. New York Comedy Club became the first comedy club with two showrooms in 1997. Al was one of the first club owners to embrace diversity in the comedy world by establishing the first Latino Comedy Night at New York Comedy Club. He’s also facilitated and welcomed to his stage shows featuring gay, urban and Asian communities. In 2000 Martin opened New York Comedy Club in Boca Raton, which he ran successfully until late 2006. With the success of two clubs Al decided to expand his brand and in 2003 opened Broadway Comedy Club, located in the heart of Times Square. Martin again took a risk in opening Broadway Comedy, the only bi- level entertainment complex with three showrooms in NYC, serving over 600 comedy lovers from around the world nightly. In 2005 he partnered with Barry Katz, executive producer of NBC’s Last Comic Standing to run Boston Comedy Club, giving Martin the bragging rights to being the first person to run three comedy clubs in New York City. In the Summer of 2012 Martin expanded his comedy ventures into Greenwich Village, in New York City with the opening of Greenwich Village Comedy Club, from day one the club has been filled every night with a lively downtown crowd and top comedians making them laugh! Martin’s clubs attract comedy fans from around the world including some of the biggest celebrities from Jay-Z & Beyonce, Andre Aggasi, Jimmy Fallon, Montel Williams, and Harry Connick Jr. On stage or behind the scenes, Al Martin will go down in history as the King of New York Comedy. Martin is a brilliant thinker and innovator of his time, and has made New York City the World’s Capital of Comedy.",https://www.eventbrite.com/e/broadway-comedy-club-all-star-comedy-times-square-nyc-discount-tickets-tickets-38142973661?aff=ebapi
"All American Male - New York, NY",2017-11-11T21:00:00,"Get ready to blush, scream and have a great time with the sexy All American Male strippers. Plus, our hilarious hosts encourage audience participation. Who knows? You might find yourself right in the middle of the stage action and have a photo moment that none of your friends will be able to top.",https://www.eventbrite.com/e/all-american-male-new-york-ny-tickets-28697990462?aff=ebapi
Popped Collar Comedy Show (FREE),2017-11-11T20:30:00,"About a year ago I asked if I could start a comedy show at the cafe on my block. A few hours before showtime, me and some friends rolled a bunch of tires down the street for a makeshift stage. And it worked. There have been  forty(!) shows, and I'm psyched about every lineup I put together. 


Host: Stephen Bolles

Mackenzie Graves
Maddy Smith
Randall Otis
Charlie McCracken
Vanetta Schoefield
Dan Wickes

After the show, we will celebrate Stephen Bolles and Mackenzie's birthdays with a roast.",https://www.eventbrite.com/e/popped-collar-comedy-show-free-tickets-39661268923?aff=ebapi
Broadway Comedy Club presents Teddy Smith,2017-11-11T20:30:00,"Broadway Comedy Club is the setting for a stand up comedy show. Laugh along with the comedians listed below. 
Teddy Smith,
Russ Meneve ,
Aaron Berg
Note:  there is a two drink requirement per person",https://www.eventbrite.com/e/broadway-comedy-club-presents-teddy-smith-tickets-39625447781?aff=ebapi
